capitulo,ingles,espanol
5,to camp,acampar
5,to confirm a reservation,confirmar una reservación
5,to be on vacation,estar de vacaciones
5,"to pack (one's suitcases)",hacer las maletas
5,to take a trip,hacer un viaje
5,to (wind)surf,hacer (wind)surf
5,to go shopping,ir de compras
5,to go on vacation,ir de vacaciones
5,to go by bus,ir en autobús
5,to go by car,ir en auto(móvil)
5,to go by plane,ir en avión
5,to go by boat,ir en barco
5,to go by motorcycle,ir en moto(cicleta)
5,to go by taxi,ir en taxi
5,to play cards,jugar a las cartas
5,to ride a horse,montar a caballo
5,to fish,pescar
5,to take photos,sacar/tomar fotos
5,customs inspector (m.),el inspector de aduanas
5,customs inspector (f.),la inspector ade aduanas
5,traveler (m.),el viajero
5,traveler (f.),la viajera
5,airport,el aeropuerto
5,countryside,el campo
5,luggage,el equipaje
5,bus station,la estación de autobuses
5,subway station,la estación del metro
5,train station,la estación de tren
5,arrival,la llegada
5,sea,el mar
5,landscape,el paisaje
5,(round-trip) ticket,el paisage (de ida y vuelta)
5,passport,el pasaporte
5,beach,la playa
5,departure/exit,la salida
5,surfboard/sailboard,la tabla de (wind)surf
5,elevator,el ascensor
5,bed,la cama
5,employee (m.),el empleado
5,employee (f.),la empleada
5,single room,la habitación individual
5,double room,la habitación doble
5,hotel,el hotel
5,guest (m.),el huésped
5,guest (f.),la huésped
5,key,la llave
5,floor (of a building),el piso
5,ground floor,la planta baja
5,open,abierto/a
5,bored; boring,aburrido/a
5,happy (1),alegre
5,nice; friendly,amable
5,embarrased,avergonzado/a
5,tired,cansado/a
5,closed,cerrado/a
5,comfortable,cómodo/a
5,confused,confundido/a
5,content,contento/a
5,disorderly,desordenado/a
5,in love (with),enamorado/a (de)
5,wrong,equivocado/a
5,happy (2),feliz
5,clean,limpio/a
5,ready; smart,listo/a
5,nervous,nervioso/a
5,busy,ocupado/a
5,orderly,ordenado/a
5,worried (about),preocupado/a (por)
5,sure; safe; confident,seguro/a
5,dirty,sucio/a
5,sad,triste
5,first,primero/a
5,first (preceding m. noun),primer
5,second,segundo/a
5,third,tercero/a
5,third (preceding m. noun),tercer
5,fourth,cuarto/a
5,fifth,quinto/a
5,sixth,sexto/a
5,seventh,séptimo/a
5,eighth,octavo/a
5,ninth,noveno/a
5,tenth,décimo/a
5,right now,ahora mismo
5,year,el año
5,What is the date (today)?,¿Cuál es la fecha (hoy)?
5,in a good mood,de buen humor
5,in a bad mood,de mal humor
5,season,la estación
5,month,el mes
5,yet; still,todavía
5,winter,el invierno
5,spring,la primavera
5,summer,el verano
5,autumn,el otoño
5,january,enero
5,february,febrero
5,march,marzo
5,april,abril
5,may,mayo
5,june,junio
5,july,julio
5,august,agosto
5,september,septiembre
5,october,octubre
5,november,noviembre
5,december,diciembre
6,coat,el abrigo
6,jeans,los (blue)jeans
6,blouse,la blusa
6,purse; bag,la bolsa
6,boot,la bota
6,sock,el calcetín
6,socks,los calcetines
6,shirt,la camisa
6,t-shirt,la camiseta
6,wallet,la cartera
6,jacket,la chaqueta
6,belt,el cinturón
6,tie,la corbata
6,skirt,la falda
6,(sun)glasses,las gafas (de sol)
6,gloves,los guantes
6,raincoat,el impermeable
6,pantyhose; stockings,las medias
6,pants,los pantalones
6,shorts,los pantalones cortos
6,clothes,la ropa
6,underwear,la ropa interior
6,sandals,las sandalias
6,hat,el sombrero
6,sweater,el suéter
6,suit,el traje
6,bathing suit,el traje de baño
6,dress,el vestido
6,sneakers,los zapatos de tenis
6,department store,el almacén
6,cash register,la caja
6,shopping mall,el centro comercial
6,customer (m.),el cliente
6,customer (f.),la clienta
6,clerk (m.),el dependiente
6,clerk (f.),la dependienta
6,money,el dinero
6,cash,(en) efectivo
6,(open-air) market,el mercado (al aire libre)
6,a pair (of shoes),un par (de zapatos)
6,(fixed; set) price,el precio (fijo)
6,sale,la rebaja
6,gift,el regalo
6,credit card,la tarjeta de crédito
6,debit card,la tarjeta de débito
6,store,la tienda
6,salesperson (m.),el vendedor
6,salesperson (f.),la vendedora
6,to buy online,comprar en línea
6,to cost,costar
6,to spend (money),gastar
6,to match (with),hacer juego (con)
6,to wear; to take,llevar
6,to pay,pagar
6,to bargain,regatear
6,to wear; to use,usar
6,to sell,vender
6,color,el color
6,yellow,amarillo/a
6,orange,anaranjado/a
6,blue,azul
6,white,blanco/a
6,gray,gris
6,brown (1),marrón
6,brown (1),café
6,purple,morado/a
6,black,negro/a
6,red,rojo/a
6,pink,rosado/a
6,green,verde
6,to have just done something,acabar de (+ inf.)
6,last night,anoche
6,the day before yesterday,anteayer
6,yesterday,ayer
6,suddenly,de repente
6,from,desde
6,twice,dos veces
6,until,hasta
6,last; past,pasado/a (adj.)
6,last year,el año pasado
6,last week,la semana pasada
6,to lend; to loan,prestar
6,once,una vez
6,already,ya
